;TEMPO;VDS;VG
17442;0.00784935;0.111919;0.53871
17443;0.0078498;0.111287;0.53871
17444;0.00785025;0.110233;0.53871
17445;0.0078507;0.110022;0.53871
17446;0.00785115;0.110022;0.53871
17447;0.0078516;0.110022;0.536339
17448;0.00785205;0.110022;0.533376
17449;0.0078525;0.110022;0.535154
17450;0.00785295;0.110022;0.53871
17451;0.0078534;0.110865;0.53871
17452;0.00785385;0.110022;0.53871
17453;0.0078543;0.110233;0.53871
17454;0.00785475;0.110022;0.53871
17455;0.0078552;0.110022;0.53871
17456;0.00785565;0.110233;0.53871
17457;0.0078561;0.110654;0.53871
17458;0.00785655;0.110022;0.53871
17459;0.007857;0.110022;0.53871
17460;0.00785745;0.110233;0.53871
17461;0.0078579;0.112762;0.53871
17462;0.00785835;0.115502;0.53871
17463;0.0078588;0.113183;0.538117
17464;0.00785925;0.111708;0.53871
17465;0.0078597;0.111497;0.53871
17466;0.00786015;0.110865;0.53871
17467;0.0078606;0.109179;0.53871
17468;0.00786105;0.10939;0.53871
17469;0.0078615;0.111497;0.53871
17470;0.00786195;0.111497;0.53871
17471;0.0078624;0.110865;0.53871
17472;0.00786285;0.111708;0.53871
17473;0.0078633;0.111919;0.53871
17474;0.00786375;0.111708;0.53871
17475;0.0078642;0.110233;0.53871
17476;0.00786465;0.110233;0.53871
17477;0.0078651;0.110022;0.53871
17478;0.00786555;0.110022;0.53871
17479;0.007866;0.110022;0.53871
17480;0.00786645;0.110443;0.53871
17481;0.0078669;0.110654;0.53871
17482;0.00786735;0.110654;0.53871
17483;0.0078678;0.110443;0.53871
17484;0.00786825;0.110022;0.53871
17485;0.0078687;0.110443;0.535154
17486;0.00786915;0.111287;0.536932
17487;0.0078696;0.111497;0.53871
17488;0.00787005;0.111708;0.53871
17489;0.0078705;0.111919;0.53871
17490;0.00787095;0.111919;0.53871
17491;0.0078714;0.111919;0.53871
17492;0.00787185;0.111708;0.53871
17493;0.0078723;0.111919;0.53871
