t;vds;corrente;vg;RES_MED
0.0068;0.0194398;0.0436056;0.782154;2229.048563
0.00682;0.0194207;0.0433768;0.776271;2238.604507
0.00684;0.0193992;0.0414567;0.757844;2339.694187
0.00686;0.0193672;0.0395982;0.738423;2445.464693
0.00688;0.0194032;0.0446602;0.71882;2172.314499
0.0069;0.0193577;0.0415442;0.698902;2329.771665
0.00692;0.0194191;0.0407782;0.678459;2381.063902
0.00694;0.0194646;0.0389814;0.659513;2496.65225
0.00696;0.0193401;0.0416358;0.639263;2322.532532
0.00698;0.0194295;0.037117;0.619576;2617.331681
0.007;0.0194135;0.0409891;0.600111;2368.129576
0.00702;0.0193745;0.0413273;0.581047;2344.031669
0.00704;0.019534;0.037887;0.560497;2577.929105
0.00706;0.0194287;0.0380482;0.539651;2553.169401
0.00708;0.0193186;0.0330758;0.51854;2920.352645
0.0071;0.0194853;0.0332569;0.499701;2929.512372
0.00712;0.019483;0.0354456;0.479164;2748.29598
0.00714;0.0193984;0.0335075;0.457715;2894.635529
0.00716;0.0194494;0.0351949;0.438155;2763.099199
0.00718;0.0194351;0.0333444;0.4193;2914.297453
0.0072;0.0196537;0.0345761;0.40009;2842.093238
0.00722;0.0195332;0.0341821;0.378655;2857.226443
0.00724;0.0194805;0.0359192;0.359063;2711.711285
0.00726;0.0195619;0.0334976;0.339232;2919.895754
0.00728;0.0194382;0.0348407;0.319705;2789.582299
0.0073;0.0195093;0.0398668;0.301137;2446.810379
0.00732;0.019384;0.0348228;0.280872;2783.233973
0.00734;0.0194845;0.0337145;0.261648;2889.632057
0.00736;0.019613;0.0377478;0.242968;2597.899745
0.00738;0.0195332;0.0334956;0.223264;2915.785954
0.0074;0.0194949;0.0393058;0.203544;2479.901185
0.00742;0.0194223;0.0393853;0.183229;2465.678819
0.00744;0.0194566;0.0438106;0.164405;2220.535669
0.00746;0.0194654;0.0448552;0.144622;2169.80417
0.00748;0.0193712;0.0467096;0.123717;2073.578023
0.0075;0.0192923;0.0469106;0.104317;2056.283654
0.00752;0.0193178;0.0477622;0.0848197;2022.289593
0.00754;0.019321;0.048779;0.0654522;1980.462904
0.00756;0.0194008;0.0513995;0.0476521;1887.255713
0.00758;0.0192364;0.052275;0.0270356;1839.923482
0.0076;0.0193098;0.0528838;0.00670687;1825.681967
0.00762;0.0193968;0.0511647;-0.0123092;1895.525626
0.00764;0.0192292;0.055377;-0.0318536;1736.208173
0.00766;0.0193257;0.0546548;-0.0525185;1767.978293
0.00768;0.0192548;0.0567579;-0.0720626;1696.222024
0.0077;0.0193322;0.0570265;-0.09292;1695.018982
0.00772;0.0191734;0.0599674;-0.11184;1598.651934
0.00774;0.0190872;0.0603614;-0.132104;1581.076648
0.00776;0.019187;0.0622536;-0.151456;1541.035378
0.00778;0.0192212;0.0635728;-0.170952;1511.747162
0.0078;0.0192061;0.0626674;-0.18981;1532.383664
0.00782;0.0191662;0.0660003;-0.18747;1451.978249
0.00784;0.0192005;0.0609622;-0.169047;1574.787327
0.00786;0.0192117;0.0621899;-0.150304;1544.599686
0.00788;0.0192571;0.0603434;-0.129655;1595.626034
0.0079;0.019234;0.0610717;-0.109679;1574.706452
0.00792;0.0190705;0.0574941;-0.0904219;1658.474522
0.00794;0.0192923;0.0583875;-0.0707662;1652.091629
0.00796;0.019313;0.0575319;-0.0506935;1678.460124
0.00798;0.0192659;0.0564356;-0.0306692;1706.892458
0.008;0.0192819;0.0533674;-0.0102283;1806.524208
0.00802;0.0192156;0.0523247;0.00859563;1836.188263
0.00804;0.0191128;0.0517059;0.0291164;1848.22235
0.00806;0.019262;0.0503051;0.0484368;1914.517614
0.00808;0.0192835;0.0472807;0.0688133;2039.257033
0.0081;0.0193912;0.0488327;0.0871895;1985.472849
0.00812;0.0193465;0.0488506;0.106382;1980.170151
0.00814;0.0192947;0.0452631;0.127078;2131.394005
0.00816;0.0194207;0.0473384;0.146062;2051.262823
0.00818;0.0194638;0.0423202;0.16607;2299.587431
0.0082;0.0194686;0.0430763;0.184511;2259.7809
0.00822;0.019408;0.0387406;0.205032;2504.865696
0.00824;0.0194151;0.039839;0.22432;2436.695198
0.00826;0.0194805;0.0363907;0.245609;2676.576708
0.00828;0.0195292;0.0403126;0.263472;2422.220348
0.0083;0.0195524;0.0413631;0.282809;2363.507571
