;subida[VDS];descida[VDS]
2062;0.0623108;0.160228
2063;0.0623108;0.160228
2064;0.0618162;0.160228
2065;0.0623108;0.160228
2066;0.0623108;0.160228
2067;0.0618162;0.160228
2068;0.0623108;0.160228
2069;0.0623108;0.160228
2070;0.0623108;0.160228
2071;0.0618162;0.160228
2072;0.0618162;0.160228
2073;0.0623108;0.160228
2074;0.0623108;0.160228
2075;0.0618162;0.160228
2076;0.0623108;0.160228
2077;0.0623108;0.160228
2078;0.0618163;0.160228
2079;0.0623108;0.160228
2080;0.0623108;0.160228
2081;0.0623108;0.160228
2082;0.0623108;0.160228
2083;0.0618162;0.160228
2084;0.0623108;0.160228
2085;0.0623108;0.160228
2086;0.0618162;0.160228
2087;0.0623108;0.160228
2088;0.0623108;0.160228
2089;0.0623108;0.160228
2090;0.0623108;0.160228
2091;0.0623108;0.160228
2092;0.0623108;0.160228
2093;0.0623108;0.160228
2094;0.0623108;0.160228
2095;0.0618162;0.160228
2096;0.0623108;0.160228
2097;0.0623108;0.160228
2098;0.0623108;0.160228
2099;0.0623108;0.160228
2100;0.0618162;0.160228
2101;0.0623108;0.160228
2102;0.0618162;0.160228
2103;0.0623108;0.160228
2104;0.0623108;0.160228
2105;0.0623108;0.160228
2106;0.0623108;0.160228
2107;0.0623108;0.160228
2108;0.0618162;0.160228
2109;0.0623108;0.160228
2110;0.0623108;0.160228
2111;0.0623108;0.160228
2112;0.0623108;0.160228
2113;0.0623108;0.160228
2114;0.0623108;0.160228
2115;0.0623108;0.160228
2116;0.0623108;0.160228
2117;0.0623108;0.160228
2118;0.0623108;0.160228
2119;0.0623108;0.160228
2120;0.0623108;0.160228
2121;0.0623108;0.160228
2122;0.0623108;0.160228
2123;0.0623108;0.160228
2124;0.0623108;0.160228
2125;0.0623108;0.160228
2126;0.0623108;0.160228
2127;0.0623108;0.160228
2128;0.0623108;0.160228
2129;0.0623108;0.160228
2130;0.0623108;0.160228
2131;0.0623108;0.160228
2132;0.0623108;0.160228
2133;0.0623108;0.160228
2134;0.0623108;0.160228
2135;0.0618162;0.160228
2136;0.0623108;0.160228
2137;0.0623108;0.160228
2138;0.0623108;0.160228
2139;0.0623108;0.160228
2140;0.0623108;0.160228
2141;0.0623108;0.160228
2142;0.0623108;0.160228
2143;0.0623108;0.160228
2144;0.0623108;0.160228
2145;0.0623108;0.160228
2146;0.0623108;0.160228
2147;0.0623108;0.160228
2148;0.0623108;0.160228
2149;0.0623108;0.160228
2150;0.0623108;0.160228
2151;0.0623108;0.160228
2152;0.0623108;0.160228
2153;0.0618162;0.160228
2154;0.0623108;0.160228
2155;0.0623108;0.160228
2156;0.0623108;0.160228
2157;0.0623108;0.160228
2158;0.0618162;0.160228
2159;0.0623108;0.160228
2160;0.0618162;0.160228
2161;0.0623108;0.160228
2162;0.0623108;0.160228
2163;0.0623108;0.160228
2164;0.0623108;0.160228
2165;0.0618162;0.160228
2166;0.0623108;0.160228
2167;0.0623108;0.160228
2168;0.0623108;0.160228
2169;0.0623108;0.160228
2170;0.0613217;0.160228
2171;0.0623108;0.160228
2172;0.0623108;0.160228
2173;0.0623108;0.160228
2174;0.0623108;0.160228
2175;0.0623108;0.160228
2176;0.0618162;0.160228
2177;0.0623108;0.160228
2178;0.0623108;0.160228
2179;0.0623108;0.160228
2180;0.0623108;0.160228
2181;0.0623108;0.160228
2182;0.0623108;0.160228
2183;0.0623108;0.160228
2184;0.0623108;0.160228
2185;0.0618162;0.160228
2186;0.0623108;0.160228
2187;0.0623108;0.160228
2188;0.0623108;0.160228
2189;0.0623108;0.160228
2190;0.0623108;0.160228
2191;0.0623108;0.160228
2192;0.0623108;0.160228
2193;0.0623108;0.160228
2194;0.0618162;0.160228
2195;0.0623108;0.160228
2196;0.0618162;0.160228
2197;0.0623108;0.160228
2198;0.0623108;0.160228
2199;0.0623108;0.160228
2200;0.0623108;0.160228
2201;0.0623108;0.160228
2202;0.0623108;0.160228
2203;0.0623108;0.160228
2204;0.0623108;0.160228
2205;0.0618162;0.160228
2206;0.0623108;0.160228
2207;0.0623108;0.160228
2208;0.0623108;0.160228
2209;0.0623108;0.160228
2210;0.0618162;0.160228
2211;0.0618162;0.160228
2212;0.0613217;0.160228
2213;0.0623108;0.160228
2214;0.0623108;0.160228
2215;0.0623108;0.160228
2216;0.0623108;0.160228
2217;0.0618162;0.160228
2218;0.0623108;0.160228
2219;0.0623108;0.160228
2220;0.0618162;0.160228
2221;0.0623108;0.160228
2222;0.0623108;0.160228
2223;0.0623108;0.160228
2224;0.0623108;0.160228
2225;0.0623108;0.160228
2226;0.0623108;0.160228
2227;0.0623108;0.160228
2228;0.0623108;0.160228
2229;0.0623108;0.160228
2230;0.0618162;0.160228
2231;0.0623108;0.160228
2232;0.0618162;0.160228
2233;0.0623108;0.160228
2234;0.0623108;0.160228
2235;0.0618162;0.160228
2236;0.0623108;0.160228
2237;0.0623108;0.160228
2238;0.0623108;0.160228
2239;0.0623108;0.160228
2240;0.0623108;0.160228
2241;0.0623108;0.160228
2242;0.0613217;0.160228
2243;0.0623108;0.160228
2244;0.0623108;0.160228
2245;0.0623108;0.160228
2246;0.0623108;0.160228
2247;0.0623108;0.160228
2248;0.0623108;0.160228
2249;0.0618162;0.160228
2250;0.0623108;0.160228
2251;0.0623108;0.160228
2252;0.0613217;0.160228
2253;0.0623108;0.160228
2254;0.0623108;0.160228
2255;0.0623108;0.160228
2256;0.0623108;0.160228
2257;0.0623108;0.160228
2258;0.0623108;0.160228
2259;0.0623108;0.160228
2260;0.0623108;0.160228
2261;0.0623108;0.160228
2262;0.0623108;0.160228
2263;0.0623108;0.160228
2264;0.0623108;0.160228
2265;0.0618162;0.160228
2266;0.0623108;0.160228
2267;0.0623108;0.160228
2268;0.0623108;0.160228
2269;0.0623108;0.160228
2270;0.0623108;0.160228
2271;0.0623108;0.160228
2272;0.0618163;0.160228
2273;0.0613217;0.160228
2274;0.0623108;0.160228
2275;0.0623108;0.160228
2276;0.0623108;0.160228
2277;0.0623108;0.160228
2278;0.0623108;0.160228
2279;0.0618162;0.160228
2280;0.0623108;0.160228
2281;0.0623108;0.160228
2282;0.0623108;0.160228
2283;0.0623108;0.160228
2284;0.0623108;0.160228
2285;0.0623108;0.160228
2286;0.0623108;0.160228
2287;0.0623108;0.160228
2288;0.0623108;0.160228
2289;0.0623108;0.160228
2290;0.0623108;0.160228
2291;0.0623108;0.160228
2292;0.0623108;0.160228
2293;0.0623108;0.160228
2294;0.0623108;0.160228
2295;0.0623108;0.160228
2296;0.0623108;0.160228
2297;0.0623108;0.160228
2298;0.0618162;0.160228
2299;0.0618162;0.160228
2300;0.0618162;0.160228
2301;0.0623108;0.160228
2302;0.0618162;0.160228
2303;0.0623108;0.160228
2304;0.0613217;0.160228
2305;0.0623108;0.160228
2306;0.0623108;0.160228
2307;0.0623108;0.160228
2308;0.0623108;0.160228
2309;0.0618162;0.160228
2310;0.0623108;0.160228
2311;0.0623108;0.160228
2312;0.0613217;0.160228
2313;0.0618162;0.160228
2314;0.0623108;0.160228
2315;0.0623108;0.160228
2316;0.0623108;0.160228
2317;0.0623108;0.160228
2318;0.0623108;0.160228
2319;0.0623108;0.160228
2320;0.0623108;0.160228
2321;0.0623108;0.160228
2322;0.0623108;0.160228
2323;0.0618162;0.160228
2324;0.0623108;0.160228
2325;0.0623108;0.160228
2326;0.0618162;0.160228
2327;0.0623108;0.160228
2328;0.0623108;0.160228
2329;0.0623108;0.160228
2330;0.0613217;0.160228
2331;0.0623108;0.160228
2332;0.0623108;0.160228
2333;0.0623108;0.160228
2334;0.0623108;0.160228
2335;0.0618163;0.160228
2336;0.0623108;0.160228
2337;0.0623108;0.160228
2338;0.0618162;0.160228
2339;0.0618163;0.160228
2340;0.0623108;0.160228
2341;0.0623108;0.160228
2342;0.0623108;0.160228
2343;0.0623108;0.160228
2344;0.0623108;0.160228
2345;0.0618163;0.160228
2346;0.0618162;0.160228
2347;0.0623108;0.160228
2348;0.0623108;0.160228
2349;0.0623108;0.160228
2350;0.0623108;0.160228
2351;0.0623108;0.160228
2352;0.0623108;0.160228
2353;0.0623108;0.160228
2354;0.0623108;0.160228
2355;0.0623108;0.160228
2356;0.0618162;0.160228
2357;0.0618162;0.160228
2358;0.0623108;0.160228
2359;0.0618162;0.160228
2360;0.0623108;0.160228
2361;0.0623108;0.160228
2362;0.0623108;0.160228
2363;0.0623108;0.160228
2364;0.0623108;0.160228
2365;0.0623108;0.160228
2366;0.0623108;0.160228
2367;0.0623108;0.160228
2368;0.0623108;0.160228
2369;0.0623108;0.160228
2370;0.0623108;0.160228
2371;0.0623108;0.160228
2372;0.0623108;0.160228
2373;0.0623108;0.160228
2374;0.0623108;0.160228
2375;0.0618163;0.160228
2376;0.0618163;0.160228
2377;0.0623108;0.160228
2378;0.0623108;0.160228
2379;0.0623108;0.160228
2380;0.0623108;0.160228
2381;0.0623108;0.160228
2382;0.0623108;0.160228
2383;0.0623108;0.160228
2384;0.0623108;0.160228
2385;0.0623108;0.160228
2386;0.0623108;0.160228
2387;0.0623108;0.160228
2388;0.0623108;0.160228
2389;0.0623108;0.160228
2390;0.0623108;0.160228
2391;0.0618162;0.160228
2392;0.0623108;0.160228
2393;0.0623108;0.160228
2394;0.0618163;0.160228
2395;0.0623108;0.160228
2396;0.0618162;0.160228
2397;0.0623108;0.160228
2398;0.0623108;0.160228
2399;0.0623108;0.160228
2400;0.0623108;0.160228
2401;0.0623108;0.160228
2402;0.0623108;0.160228
2403;0.0623108;0.160228
2404;0.0613217;0.160228
2405;0.0623108;0.160228
2406;0.0623108;0.160228
2407;0.0623108;0.160228
2408;0.0623108;0.160228
2409;0.0623108;0.160228
2410;0.0618162;0.160228
2411;0.0623108;0.160228
2412;0.0623108;0.160228
2413;0.0618162;0.160228
2414;0.0618162;0.160228
2415;0.0623108;0.160228
2416;0.0623108;0.160228
2417;0.0618162;0.160228
2418;0.0623108;0.160228
2419;0.0623108;0.160228
2420;0.0623108;0.160228
2421;0.0618162;0.160228
2422;0.0623108;0.160228
2423;0.0623108;0.160228
2424;0.0623108;0.160228
2425;0.0618162;0.160228
2426;0.0623108;0.160228
2427;0.0623108;0.160228
2428;0.0623108;0.160228
2429;0.0623108;0.160228
2430;0.0623108;0.160228
2431;0.0623108;0.160228
2432;0.0623108;0.160228
2433;0.0623108;0.160228
2434;0.0623108;0.160228
2435;0.0623108;0.160228
2436;0.0623108;0.160228
2437;0.0623108;0.160228
2438;0.0618162;0.160228
2439;0.0623108;0.160228
2440;0.0623108;0.160228
2441;0.0623108;0.160228
2442;0.0618162;0.160228
2443;0.0623108;0.160228
2444;0.0623108;0.160228
2445;0.0623108;0.160228
2446;0.0623108;0.160228
2447;0.0623108;0.160228
2448;0.0623108;0.160228
2449;0.0618162;0.160228
2450;0.0623108;0.160228
2451;0.0623108;0.160228
2452;0.0623108;0.160228
2453;0.0623108;0.160228
2454;0.0623108;0.160228
2455;0.0618163;0.160228
2456;0.0618162;0.160228
2457;0.0613217;0.160228
2458;0.0623108;0.160228
2459;0.0623108;0.160228
2460;0.0613217;0.160228
2461;0.0623108;0.160228
2462;0.0623108;0.160228
2463;0.0623108;0.160228
2464;0.0618162;0.160228
2465;0.0623108;0.160228
2466;0.0623108;0.160228
2467;0.0623108;0.160228
2468;0.0623108;0.160228
2469;0.0623108;0.160228
2470;0.0623108;0.160228
2471;0.0623108;0.160228
2472;0.0623108;0.160228
2473;0.0623108;0.160228
2474;0.0613217;0.160228
2475;0.0623108;0.160228
2476;0.0613217;0.160228
2477;0.0623108;0.160228
2478;0.0618162;0.160228
2479;0.0623108;0.160228
2480;0.0623108;0.160228
2481;0.0623108;0.160228
2482;0.0618163;0.160228
2483;0.0623108;0.160228
2484;0.0623108;0.160228
2485;0.0623108;0.160228
2486;0.0618162;0.160228
2487;0.0623108;0.160228
2488;0.0623108;0.160228
2489;0.0623108;0.160228
2490;0.0618162;0.160228
2491;0.0623108;0.160228
2492;0.0623108;0.160228
2493;0.0623108;0.160228
2494;0.0618162;0.160228
2495;0.0623108;0.160228
2496;0.0623108;0.160228
2497;0.0623108;0.160228
2498;0.0623108;0.160228
2499;0.0623108;0.160228
2500;0.0623108;0.160228
2501;0.0623108;0.160228
2502;0.0623108;0.160228
2503;0.0623108;0.160228
2504;0.0618162;0.160228
2505;0.0623108;0.160228
2506;0.0623108;0.160228
2507;0.0623108;0.160228
2508;0.0618162;0.160228
2509;0.0623108;0.160228
2510;0.0623108;0.160228
2511;0.0618163;0.160228
2512;0.0618162;0.160228
2513;0.0623108;0.160228
2514;0.0623108;0.160228
2515;0.0623108;0.160228
2516;0.0618162;0.160228
2517;0.0623108;0.160228
2518;0.0613217;0.160228
2519;0.0623108;0.160228
2520;0.0623108;0.160228
2521;0.0623108;0.160228
2522;0.0623108;0.160228
2523;0.0623108;0.160228
2524;0.0623108;0.160228
2525;0.0618162;0.160228
2526;0.0623108;0.160228
2527;0.0623108;0.160228
2528;0.0618162;0.160228
2529;0.0623108;0.160228
2530;0.0623108;0.160228
2531;0.0618162;0.160228
2532;0.0623108;0.160228
2533;0.0623108;0.160228
2534;0.0623108;0.160228
2535;0.0623108;0.160228
2536;0.0623108;0.160228
2537;0.0623108;0.160228
2538;0.0623108;0.160228
2539;0.0623108;0.160228
2540;0.0623108;0.160228
2541;0.0618162;0.160228
2542;0.0623108;0.160228
2543;0.0623108;0.160228
2544;0.0623108;0.160228
2545;0.0623108;0.160228
2546;0.0623108;0.160228
2547;0.0618162;0.160228
2548;0.0623108;0.160228
2549;0.0618162;0.160228
2550;0.0623108;0.160228
2551;0.0618162;0.160228
2552;0.0623108;0.160228
2553;0.0623108;0.160228
2554;0.0623108;0.160228
2555;0.0623108;0.160228
2556;0.0618162;0.160228
2557;0.0623108;0.160228
2558;0.0623108;0.160228
2559;0.0623108;0.160228
2560;0.0618162;0.160228
2561;0.0623108;0.160228
2562;0.0623108;0.160228
2563;0.0623108;0.160228
2564;0.0618162;0.160228
2565;0.0623108;0.160228
2566;0.0623108;0.160228
2567;0.0623108;0.160228
2568;0.0623108;0.160228
2569;0.0623108;0.160228
2570;0.0623108;0.160228
2571;0.0623108;0.160228
2572;0.0623108;0.160228
2573;0.0623108;0.160228
2574;0.0623108;0.160228
2575;0.0623108;0.160228
2576;0.0623108;0.160228
2577;0.0623108;0.160228
2578;0.0623108;0.160228
2579;0.0623108;0.160228
2580;0.0623108;0.160228
2581;0.0618162;0.160228
2582;0.0618162;0.160228
2583;0.0618162;0.160228
2584;0.0623108;0.160228
2585;0.0623108;0.160228
2586;0.0623108;0.160228
2587;0.0623108;0.160228
2588;0.0618162;0.160228
2589;0.0623108;0.160228
2590;0.0623108;0.160228
2591;0.0623108;0.160228
2592;0.0623108;0.160228
2593;0.0623108;0.160228
2594;0.0618163;0.160228
2595;0.0623108;0.160228
2596;0.0623108;0.160228
2597;0.0623108;0.160228
2598;0.0623108;0.160228
2599;0.0623108;0.160228
2600;0.0623108;0.160228
2601;0.0623108;0.160228
2602;0.0623108;0.160228
2603;0.0623108;0.160228
2604;0.0623108;0.160228
2605;0.0623108;0.160228
2606;0.0623108;0.160228
2607;0.0623108;0.160228
